ID,Testcase name,Sub-case,Pre-condition,Step,Expected output,Priority,Section
TC_001,Kích hoạt SOS từ Home,Happy Path,User đã login + đang ở màn hình chính,"1. Nhấn nút SOS (floating button góc phải dưới)","Hiển thị màn hình SOS Entry với header ""🚨 Bạn cần giúp đỡ?""",High,1. Kích hoạt SOS
TC_002,Xác nhận gửi cảnh báo,Happy Path,Đang ở màn hình SOS Entry,"1. Nhấn ""🆘 KÍCH HOẠT SOS""","Chuyển sang màn hình SOS Main, Countdown 30 giây bắt đầu",High,1. Kích hoạt SOS
TC_003,Quay lại từ SOS Entry,Cancel flow,Đang ở màn hình SOS Entry,"1. Nhấn ""← Quay lại""","Quay về màn hình chính, KHÔNG kích hoạt SOS",Medium,1. Kích hoạt SOS
TC_004,Sound/Haptic 0-20s,Feedback,Countdown đang chạy (0-20s),1. Quan sát countdown,"Beep nhẹ mỗi 5 giây, Rung nhẹ mỗi 5 giây",Medium,1. Kích hoạt SOS
TC_005,Sound/Haptic 20-25s,Feedback,Countdown đang chạy (20-25s),1. Quan sát countdown,"Beep mỗi 2 giây, Rung nhanh hơn",Medium,1. Kích hoạt SOS
TC_006,Sound/Haptic 25-30s,Feedback,Countdown đang chạy (25-30s),1. Quan sát countdown,"Beep liên tục, Rung liên tục",Medium,1. Kích hoạt SOS
TC_007,Countdown hoàn thành - Gửi ZNS,Happy Path,"Countdown = 0, có mạng, có người thân",1. Chờ countdown hết,"Gửi ZNS Template 1 đến TẤT CẢ người thân ĐỒNG THỜI + Alert CSKH + Chia sẻ GPS",High,1. Kích hoạt SOS
TC_008,Chuyển Dashboard sau gửi,Navigation,ZNS đã gửi thành công,1. Quan sát màn hình,"Chuyển sang SOS Support Dashboard, hiển thị ""✅ Đã gửi cảnh báo thành công!""",High,1. Kích hoạt SOS
TC_009,Hủy SOS trong countdown,Cancel flow,Countdown đang chạy,"1. Nhấn ""❌ HỦY""","Dừng countdown ngay, KHÔNG gửi ZNS/alert, quay về màn hình chính",High,2. Cancel SOS
TC_010,Hủy SOS - Không cooldown,Cancel rule,Đã hủy SOS,1. Bấm SOS lại ngay,"Cho phép kích hoạt SOS bình thường, KHÔNG áp dụng cooldown",High,2. Cancel SOS
TC_011,Gửi cảnh báo ngay (Skip countdown),NEW v2.1,Countdown đang chạy,"1. Nhấn ""🆘 GỬI CẢNH BÁO NGAY""","Dừng countdown ngay, Gửi ZNS đến TẤT CẢ người thân, Alert CSKH, Chia sẻ GPS, Chuyển sang Dashboard",High,1. Kích hoạt SOS
TC_012,ZNS vẫn gửi khi đang gọi 115,Background,User đang gọi 115,1. Chờ countdown = 0,"ZNS được gửi tự động dù user đang trong cuộc gọi",High,3. Gọi 115
TC_013,Toast khi quay lại app sau gọi 115,Notification,User kết thúc cuộc gọi 115 và quay lại app,1. Mở lại app Kolia,"Hiển thị toast ""✅ Đã gửi cảnh báo đến người thân""",Medium,3. Gọi 115
TC_014,Escalation tự động bắt đầu,Happy Path,"SOS đã kích hoạt, user KHÔNG đang gọi 115",1. Quan sát sau countdown,Hệ thống gọi đến người thân #1,High,4. Escalation
TC_015,Escalation timeout 20s,Timeout,Escalation đang gọi người thân #1,1. Người thân #1 không trả lời trong 20s,"Hệ thống gọi đến người thân #2, chờ 20s",High,4. Escalation
TC_016,Escalation sau 5 contacts,Fallback,"Tất cả 5 người thân không trả lời",1. Đợi escalation hết,"Gửi alert đến CSKH, hiển thị prompt ""Gọi 115 ngay""",High,4. Escalation
TC_017,Escalation dừng khi có người trả lời,Stop condition,Người thân #X trả lời (Call Connected ≥10s),1. Người thân bắt máy,"Dừng escalation ngay, KHÔNG gọi các người thân còn lại",High,4. Escalation
TC_018,Call drop <10s không tính answered,KC6a,Người thân connect rồi drop trong 10s,1. Cuộc gọi kết nối 2. Disconnect sau 5s,"KHÔNG tính ""đã trả lời"", tiếp tục escalation đến người thân #X+1",High,4. Escalation
TC_019,Call threshold 10s boundary,Boundary,Cuộc gọi connect đúng 10s,1. Cuộc gọi kết nối đúng 10s,"Tính là ""answered"", dừng escalation",Medium,4. Escalation
TC_020,User đang gọi 115 - PAUSE escalation,KC7,User đang trong cuộc gọi 115,1. Escalation bắt đầu,"CHỈ gửi ZNS/Push (không auto-call), PAUSE escalation (không skip contacts)",High,4. Escalation
TC_021,Resume escalation sau khi 115 kết thúc,KC7a,Escalation đã PAUSE do gọi 115,1. User kết thúc cuộc gọi 115,"Resume escalation từ contact #1 (không skip), tiếp tục flow 20s/contact",High,4. Escalation
TC_022,Gọi người thân từ Dashboard,Happy Path,Đang ở SOS Support Dashboard,"1. Nhấn ""Gọi người thân""","Chuyển sang màn hình Contact List",Medium,5. Hỗ trợ sau SOS
TC_023,Gọi điện thoại từ Contact List,Action,Đang ở Contact List,"1. Nhấn ""📞 Gọi điện"" cho người thân #X","Mở native phone app gọi SĐT, escalation skip người thân #X",High,5. Hỗ trợ sau SOS
TC_024,Bệnh viện gần đây - Happy Path,Happy Path,"Đang ở Dashboard, GPS OK, có BV <10km","1. Nhấn ""Bệnh viện gần đây""","Mở Hospital Map với Google Maps, hiển thị markers BV",High,5. Hỗ trợ sau SOS
TC_025,Tap marker bệnh viện,Interaction,Đang ở Hospital Map,1. Tap vào marker,"Hiển thị bottom sheet: Tên BV, Địa chỉ, Khoảng cách, Button ""📍 Chỉ đường""",Medium,5. Hỗ trợ sau SOS
TC_026,Chỉ đường Google Maps,Navigation,Đang xem bottom sheet BV,"1. Nhấn ""📍 Chỉ đường""","Mở Google Maps navigation đến BV",Medium,5. Hỗ trợ sau SOS
TC_027,Không có BV trong 10km,Empty state,Không có BV trong bán kính 10km,1. Tìm bệnh viện,"Hiển thị Empty State: ""Không tìm thấy bệnh viện gần bạn. Vui lòng gọi 115.""",Medium,5. Hỗ trợ sau SOS
TC_028,Hospital Map - Lần đầu xin quyền Location,KC9a,Chưa từng yêu cầu quyền vị trí,"1. Nhấn ""Bệnh viện gần đây""","Hiển thị popup hệ điều hành xin cấp quyền Location",High,5. Hỗ trợ sau SOS
TC_029,Hospital Map - Chấp nhận quyền,Permission,Popup OS xin quyền,1. User chấp nhận,"Tiếp tục flow bình thường, hiển thị Hospital Map",High,5. Hỗ trợ sau SOS
TC_030,Hospital Map - Từ chối quyền lần đầu,Permission,Popup OS xin quyền,1. User từ chối,"Hiển thị popup hướng dẫn vào Settings",High,5. Hỗ trợ sau SOS
TC_031,Hospital Map - Đã từ chối trước đó,KC9a Case 2,User đã từ chối quyền vị trí trước đó,"1. Nhấn ""Bệnh viện gần đây""","Hiển thị popup: 📍 Title=""Cho phép truy cập vị trí"", Button ""Đi đến cài đặt"" → Mở Settings, Button ""✕"" → Quay về Dashboard",High,5. Hỗ trợ sau SOS
